tag,activation,n_layers,width,t,l2_u,l2_v,l2_p,final_loss,training_time_seconds,model_path,plot_path
act-SiLU_L4_W128,SiLU,4,128,32.0,0.9921446442604065,0.9913028478622437,2.957298755645752,0.00035380147164687514,151.38755775000004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W128.png
act-SiLU_L4_W128,SiLU,4,128,50.0,1.000988245010376,1.0007120370864868,4.069731712341309,0.00035380147164687514,151.38755775000004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W128.png
act-SiLU_L4_W128,SiLU,4,128,100.0,1.0041030645370483,1.004443645477295,19.437471389770508,0.00035380147164687514,151.38755775000004,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W128.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W128.png
act-SiLU_L4_W256,SiLU,4,256,2.0,0.12706689536571503,0.1280713975429535,0.25557848811149597,0.0003467213246040046,163.5311289660001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W256.png
act-SiLU_L4_W256,SiLU,4,256,10.0,0.5816653966903687,0.5824947357177734,1.6395893096923828,0.0003467213246040046,163.5311289660001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W256.png
act-SiLU_L4_W256,SiLU,4,256,32.0,0.9888343214988708,0.9884467720985413,6.196223258972168,0.0003467213246040046,163.5311289660001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W256.png
act-SiLU_L4_W256,SiLU,4,256,50.0,0.998961329460144,0.9987117648124695,14.079574584960938,0.0003467213246040046,163.5311289660001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W256.png
act-SiLU_L4_W256,SiLU,4,256,100.0,1.0033717155456543,1.0010405778884888,91.1377182006836,0.0003467213246040046,163.5311289660001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W256.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W256.png
act-SiLU_L4_W512,SiLU,4,512,2.0,0.14007173478603363,0.1390955001115799,0.3175200819969177,0.00027157034492120147,186.0139004130001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W512.png
act-SiLU_L4_W512,SiLU,4,512,10.0,0.6546699404716492,0.6534469723701477,0.9109721183776855,0.00027157034492120147,186.0139004130001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W512.png
act-SiLU_L4_W512,SiLU,4,512,32.0,0.9957202076911926,0.9966177940368652,1.0688035488128662,0.00027157034492120147,186.0139004130001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W512.png
act-SiLU_L4_W512,SiLU,4,512,50.0,1.0000051259994507,1.0042692422866821,1.2732517719268799,0.00027157034492120147,186.0139004130001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W512.png
act-SiLU_L4_W512,SiLU,4,512,100.0,1.008446216583252,1.0366766452789307,31.88161849975586,0.00027157034492120147,186.0139004130001,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L4_W512.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L4_W512.png
act-SiLU_L5_W64,SiLU,5,64,2.0,0.28798437118530273,0.28037646412849426,2.2025487422943115,0.000628634006716311,171.70933267600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W64.png
act-SiLU_L5_W64,SiLU,5,64,10.0,0.8721995949745178,0.8757743835449219,3.3527584075927734,0.000628634006716311,171.70933267600003,/content/drive/MyDrive/PINN_NavierStokes_sweep/models/act-SiLU_L5_W64.pt,/content/drive/MyDrive/PINN_NavierStokes_sweep/plots/act-SiLU_L5_W64.png
